image_path,label,row_index,template,dark_mode,subject,url
C:\Users\cs001\Downloads\Compressed\Phishing_Email.csv_2\email_images\email_00000.png,0,0,Outlook,False,Important: Disc Uniformitarianism Sex,https://www.wikipedia.org
C:\Users\cs001\Downloads\Compressed\Phishing_Email.csv_2\email_images\email_00001.png,0,1,Gmail,False,Important: The Other Side,https://www.google.com
C:\Users\cs001\Downloads\Compressed\Phishing_Email.csv_2\email_images\email_00002.png,0,2,Gmail,True,Important: Equistar Deal Tickets,https://www.amazon.in
C:\Users\cs001\Downloads\Compressed\Phishing_Email.csv_2\email_images\email_00003.png,1,3,Gmail,False,Hello I am your hot lil horny toy.,http://acc-verify-19283.ru
C:\Users\cs001\Downloads\Compressed\Phishing_Email.csv_2\email_images\email_00004.png,1,4,Mobile,False,Important: Software Incredibly Low,http://acc-verify-19283.ru
C:\Users\cs001\Downloads\Compressed\Phishing_Email.csv_2\email_images\email_00005.png,0,5,Gmail,True,Important: Global Risk Management,https://www.amazon.in
C:\Users\cs001\Downloads\Compressed\Phishing_Email.csv_2\email_images\email_00006.png,0,6,Gmail,False,"On Sun, Aug 11, 2002 at 11:17:47AM +0100, wintermu...",https://www.google.com
C:\Users\cs001\Downloads\Compressed\Phishing_Email.csv_2\email_images\email_00007.png,1,7,Outlook,False,Important: Entourage Stockmogul Newsletter,http://paypal-verify-account.net
C:\Users\cs001\Downloads\Compressed\Phishing_Email.csv_2\email_images\email_00008.png,1,8,Mobile,False,Important: Owe You Lots,http://acc-verify-19283.ru
C:\Users\cs001\Downloads\Compressed\Phishing_Email.csv_2\email_images\email_00009.png,0,9,Mobile,True,Important: Coastal Deal With,https://www.google.com
C:\Users\cs001\Downloads\Compressed\Phishing_Email.csv_2\email_images\email_00010.png,1,10,Outlook,False,Important: Make Her Beg,http://acc-verify-19283.ru
C:\Users\cs001\Downloads\Compressed\Phishing_Email.csv_2\email_images\email_00011.png,0,11,Mobile,True,"URL: http://www.newsisfree.com/click/-5,8304313,17...",https://www.microsoft.com
C:\Users\cs001\Downloads\Compressed\Phishing_Email.csv_2\email_images\email_00012.png,0,12,Outlook,False,Important: Begin Forwarded Text,https://www.amazon.in
C:\Users\cs001\Downloads\Compressed\Phishing_Email.csv_2\email_images\email_00013.png,0,13,Gmail,True,Important: Fyi Wellhead Portfolio,https://www.google.com
C:\Users\cs001\Downloads\Compressed\Phishing_Email.csv_2\email_images\email_00014.png,0,14,Mobile,False,Important: Rmmla Ads Papers,https://www.google.com
C:\Users\cs001\Downloads\Compressed\Phishing_Email.csv_2\email_images\email_00015.png,0,15,Outlook,False,Important: Testing Var Nick,https://www.google.com
C:\Users\cs001\Downloads\Compressed\Phishing_Email.csv_2\email_images\email_00016.png,0,16,Outlook,True,The academic discipline of Software Engineering wa...,https://www.amazon.in
C:\Users\cs001\Downloads\Compressed\Phishing_Email.csv_2\email_images\email_00017.png,0,17,Outlook,False,Important: Queries Language Speakers,https://www.wikipedia.org
C:\Users\cs001\Downloads\Compressed\Phishing_Email.csv_2\email_images\email_00018.png,0,18,Outlook,True,Important: Resume John This,https://www.google.com
C:\Users\cs001\Downloads\Compressed\Phishing_Email.csv_2\email_images\email_00019.png,0,19,Outlook,True,* ALERT: Bait and Switch: Anticounterfeiting Bill ...,https://www.microsoft.com
C:\Users\cs001\Downloads\Compressed\Phishing_Email.csv_2\email_images\email_00020.png,0,20,Mobile,False,Important: Meeting Feb Dear,https://www.google.com
C:\Users\cs001\Downloads\Compressed\Phishing_Email.csv_2\email_images\email_00021.png,1,21,Gmail,True,Important: Formal Invite For,http://acc-verify-19283.ru
C:\Users\cs001\Downloads\Compressed\Phishing_Email.csv_2\email_images\email_00022.png,1,22,Gmail,False,Question?Do you want a different job?,http://login-secure-98324.xyz
C:\Users\cs001\Downloads\Compressed\Phishing_Email.csv_2\email_images\email_00023.png,0,23,Mobile,True,URL: http://www.livejournal.com/talkread.bml?journ...,https://www.wikipedia.org
C:\Users\cs001\Downloads\Compressed\Phishing_Email.csv_2\email_images\email_00024.png,0,24,Mobile,True,Important: Calpine Daily And,https://www.google.com
C:\Users\cs001\Downloads\Compressed\Phishing_Email.csv_2\email_images\email_00025.png,0,25,Gmail,True,Important: Bod Agenda Deadlines,https://www.google.com
C:\Users\cs001\Downloads\Compressed\Phishing_Email.csv_2\email_images\email_00026.png,0,26,Gmail,True,Important: Start Date Hourahead,https://www.wikipedia.org
C:\Users\cs001\Downloads\Compressed\Phishing_Email.csv_2\email_images\email_00027.png,0,27,Gmail,False,Important: Tetco Hpl Enerfin,https://www.google.com
C:\Users\cs001\Downloads\Compressed\Phishing_Email.csv_2\email_images\email_00028.png,1,28,Outlook,False,PROMOTE YOUR PRODUCT OR,http://paypal-verify-account.net
C:\Users\cs001\Downloads\Compressed\Phishing_Email.csv_2\email_images\email_00029.png,0,29,Gmail,True,Important: Culture Committee Subcommittee,https://www.microsoft.com
C:\Users\cs001\Downloads\Compressed\Phishing_Email.csv_2\email_images\email_00030.png,0,30,Outlook,True,Important: Sle Call For,https://www.wikipedia.org
C:\Users\cs001\Downloads\Compressed\Phishing_Email.csv_2\email_images\email_00031.png,1,31,Outlook,False,Sample email content for demonstration purposes. T...,http://secure-amazon-login.com
C:\Users\cs001\Downloads\Compressed\Phishing_Email.csv_2\email_images\email_00032.png,1,32,Gmail,False,Important: Lowers Blood Pressure,http://login-secure-98324.xyz
C:\Users\cs001\Downloads\Compressed\Phishing_Email.csv_2\email_images\email_00033.png,0,33,Outlook,False,Important: Release Agfl Home,https://www.microsoft.com
C:\Users\cs001\Downloads\Compressed\Phishing_Email.csv_2\email_images\email_00034.png,0,34,Mobile,True,Important: Mobil Beaumont Marol,https://www.amazon.in
C:\Users\cs001\Downloads\Compressed\Phishing_Email.csv_2\email_images\email_00035.png,1,35,Gmail,False,<!--,http://secure-amazon-login.com
C:\Users\cs001\Downloads\Compressed\Phishing_Email.csv_2\email_images\email_00036.png,0,36,Outlook,False,Important: Presentation Metals Forwarded,https://www.google.com
C:\Users\cs001\Downloads\Compressed\Phishing_Email.csv_2\email_images\email_00037.png,1,37,Mobile,True,Important: Premium Adult Content,http://paypal-verify-account.net
C:\Users\cs001\Downloads\Compressed\Phishing_Email.csv_2\email_images\email_00038.png,0,38,Mobile,True,Thanks Brent: now it's clearer (to me) what's need...,https://www.google.com
C:\Users\cs001\Downloads\Compressed\Phishing_Email.csv_2\email_images\email_00039.png,0,39,Outlook,True,Important: Words That Are,https://www.google.com
C:\Users\cs001\Downloads\Compressed\Phishing_Email.csv_2\email_images\email_00040.png,1,40,Outlook,False,Important: Trick How Save,http://secure-amazon-login.com
C:\Users\cs001\Downloads\Compressed\Phishing_Email.csv_2\email_images\email_00041.png,1,41,Gmail,False,Help wanted.  We are a 14 year old fortune 500 com...,http://acc-verify-19283.ru
C:\Users\cs001\Downloads\Compressed\Phishing_Email.csv_2\email_images\email_00042.png,1,42,Gmail,False,Important: Important Message Jaguar,http://paypal-verify-account.net
C:\Users\cs001\Downloads\Compressed\Phishing_Email.csv_2\email_images\email_00043.png,0,43,Gmail,True,Important: Hpl Optimization Team,https://www.microsoft.com
C:\Users\cs001\Downloads\Compressed\Phishing_Email.csv_2\email_images\email_00044.png,0,44,Mobile,True,Pity.  Reading that woman's ad and knowing Rohit f...,https://www.wikipedia.org
C:\Users\cs001\Downloads\Compressed\Phishing_Email.csv_2\email_images\email_00045.png,1,45,Mobile,False,Important: Buy Adult Dvds,http://acc-verify-19283.ru
C:\Users\cs001\Downloads\Compressed\Phishing_Email.csv_2\email_images\email_00046.png,0,46,Mobile,True,Important: First Deliveries Comstock,https://www.microsoft.com
C:\Users\cs001\Downloads\Compressed\Phishing_Email.csv_2\email_images\email_00047.png,0,47,Outlook,False,Important: New Hire Dinner,https://www.microsoft.com
C:\Users\cs001\Downloads\Compressed\Phishing_Email.csv_2\email_images\email_00048.png,1,48,Mobile,False,Important: Gino Who Want,http://acc-verify-19283.ru
C:\Users\cs001\Downloads\Compressed\Phishing_Email.csv_2\email_images\email_00049.png,1,49,Outlook,True,Important: Unbelievable New Homes,http://login-secure-98324.xyz
C:\Users\cs001\Downloads\Compressed\Phishing_Email.csv_2\email_images\email_00050.png,0,50,Mobile,True,URL: http://scriptingnews.userland.com/backissues/...,https://www.google.com
C:\Users\cs001\Downloads\Compressed\Phishing_Email.csv_2\email_images\email_00051.png,1,51,Outlook,True,Important: Discover The New,http://paypal-verify-account.net
C:\Users\cs001\Downloads\Compressed\Phishing_Email.csv_2\email_images\email_00052.png,0,52,Mobile,False,Important: Interview Schedule For,https://www.google.com
C:\Users\cs001\Downloads\Compressed\Phishing_Email.csv_2\email_images\email_00053.png,0,53,Mobile,False,----- Original Message -----,https://www.microsoft.com
C:\Users\cs001\Downloads\Compressed\Phishing_Email.csv_2\email_images\email_00054.png,1,54,Gmail,True,Important: Important Notification Regarding,http://acc-verify-19283.ru
C:\Users\cs001\Downloads\Compressed\Phishing_Email.csv_2\email_images\email_00055.png,0,55,Mobile,True,Important: Chess Endgame Fwd,https://www.amazon.in
C:\Users\cs001\Downloads\Compressed\Phishing_Email.csv_2\email_images\email_00056.png,1,56,Gmail,True,Important: Free Portable Dvd,http://acc-verify-19283.ru
C:\Users\cs001\Downloads\Compressed\Phishing_Email.csv_2\email_images\email_00057.png,0,57,Mobile,True,Important: Today Floor Meeting,https://www.amazon.in
C:\Users\cs001\Downloads\Compressed\Phishing_Email.csv_2\email_images\email_00058.png,1,58,Mobile,True,Important: Urgent Johnson Obipacific,http://paypal-verify-account.net
C:\Users\cs001\Downloads\Compressed\Phishing_Email.csv_2\email_images\email_00059.png,0,59,Mobile,True,Important: Open Season Notices,https://www.microsoft.com
C:\Users\cs001\Downloads\Compressed\Phishing_Email.csv_2\email_images\email_00060.png,1,60,Mobile,False,Important: Refinancing Has Never,http://acc-verify-19283.ru
C:\Users\cs001\Downloads\Compressed\Phishing_Email.csv_2\email_images\email_00061.png,1,61,Mobile,True,Important: Your Home Source,http://acc-verify-19283.ru
C:\Users\cs001\Downloads\Compressed\Phishing_Email.csv_2\email_images\email_00062.png,0,62,Gmail,False,">>>>> ""TP"" == Tim Peters  writes:  >> The false po...",https://www.microsoft.com
C:\Users\cs001\Downloads\Compressed\Phishing_Email.csv_2\email_images\email_00063.png,0,63,Mobile,True,URL: http://boingboing.net/#85481344,https://www.microsoft.com
C:\Users\cs001\Downloads\Compressed\Phishing_Email.csv_2\email_images\email_00064.png,0,64,Gmail,False,Important: Closing Linguistics Soas,https://www.amazon.in
C:\Users\cs001\Downloads\Compressed\Phishing_Email.csv_2\email_images\email_00065.png,0,65,Mobile,False,Important: Tmda Net History,https://www.microsoft.com
C:\Users\cs001\Downloads\Compressed\Phishing_Email.csv_2\email_images\email_00066.png,1,66,Gmail,False,Digital Publishing Tools - Free Software Alert!,http://secure-amazon-login.com
C:\Users\cs001\Downloads\Compressed\Phishing_Email.csv_2\email_images\email_00067.png,1,67,Outlook,True,Important: Again Are Story,http://paypal-verify-account.net
C:\Users\cs001\Downloads\Compressed\Phishing_Email.csv_2\email_images\email_00068.png,0,68,Outlook,False,Important: Workshop Ellipsis Conjunction,https://www.google.com
C:\Users\cs001\Downloads\Compressed\Phishing_Email.csv_2\email_images\email_00069.png,1,69,Gmail,True,Important: Girls For You,http://login-secure-98324.xyz
C:\Users\cs001\Downloads\Compressed\Phishing_Email.csv_2\email_images\email_00070.png,0,70,Gmail,False,Important: Organization Announcement Given,https://www.wikipedia.org
C:\Users\cs001\Downloads\Compressed\Phishing_Email.csv_2\email_images\email_00071.png,0,71,Outlook,True,"Looks and sounds a hell of a lot like Clare's cat,...",https://www.google.com
C:\Users\cs001\Downloads\Compressed\Phishing_Email.csv_2\email_images\email_00072.png,0,72,Gmail,True,Important: End Quarter Funds,https://www.google.com
C:\Users\cs001\Downloads\Compressed\Phishing_Email.csv_2\email_images\email_00073.png,0,73,Outlook,False,Important: Confirmations Just Talked,https://www.google.com
